Source,Target,Weight
0,23,1
0,99,8
0,28,7
0,37,8
1,37,6
1,63,9
1,6,4
1,40,9
1,50,3
2,6,1
2,25,4
3,12,5
3,14,3
4,30,1
4,51,7
4,61,10
5,98,2
6,52,2
7,77,2
7,98,1
7,69,8
7,6,3
8,42,7
8,19,9
8,40,4
8,64,1
9,88,3
9,1,10
10,72,8
10,51,8
10,87,3
10,36,7
10,3,9
10,4,10
11,84,2
11,81,9
11,2,6
11,46,4
11,82,10
12,79,4
12,58,8
13,59,10
13,49,7
14,33,6
14,87,6
15,62,8
15,61,5
15,77,4
15,81,8
15,19,3
16,58,1
16,85,9
16,90,2
16,78,3
17,26,2
17,98,4
17,47,1
17,24,10
18,47,6
19,1,9
19,16,8
19,32,2
19,18,2
19,29,2
20,37,2
20,98,9
20,78,7
20,41,3
20,34,4
20,32,5
21,46,6
21,33,6
21,35,7
21,31,5
21,67,9
21,41,1
22,6,1
22,30,9
23,30,1
23,79,2
23,95,10
23,68,4
24,11,6
24,93,10
25,69,6
25,46,5
25,92,10
26,32,7
26,17,8
26,98,1
26,57,9
26,78,1
27,79,3
27,13,9
27,68,4
27,2,3
27,26,5
27,40,5
28,84,5
28,77,1
28,71,4
28,64,10
28,85,6
29,77,10
29,45,2
29,37,8
29,56,2
30,97,5
30,95,5
30,90,10
30,5,9
31,7,1
31,35,5
31,76,7
31,26,1
31,24,4
31,74,9
32,71,1
32,5,10
32,86,8
32,89,4
32,35,1
32,68,3
32,37,6
33,7,2
33,37,9
33,32,1
33,55,3
33,16,7
34,56,3
35,30,3
36,93,9
36,88,10
36,95,8
36,15,7
36,89,2
37,47,4
37,61,2
37,86,8
37,95,3
38,99,1
38,48,1
39,42,8
39,93,1
39,9,4
39,87,4
39,20,7
40,20,3
40,39,2
40,44,6
40,83,4
40,82,9
41,98,6
41,88,8
41,67,8
41,9,4
41,3,6
41,61,5
41,91,2
42,4,4
42,99,10
43,89,6
45,2,8
46,50,5
46,68,4
46,58,1
46,69,3
47,27,1
48,54,10
48,97,5
49,87,8
50,63,5
50,59,9
51,32,4
53,88,10
53,72,3
53,56,1
54,69,4
54,46,10
54,7,2
55,30,1
56,83,10
56,88,9
56,50,6
56,81,8
56,98,6
58,76,7
58,56,8
58,59,8
59,88,5
59,18,1
59,95,10
60,49,1
60,26,8
60,93,2
60,68,5
62,12,4
62,48,8
62,79,8
62,63,3
63,72,8
64,63,3
64,95,10
64,15,4
64,51,2
64,2,7
65,54,5
65,63,6
66,22,4
66,14,10
66,32,1
66,83,10
66,69,2
66,55,5
67,95,1
68,30,2
68,61,5
69,42,9
69,75,8
70,67,1
70,27,8
70,91,10
70,92,1
71,50,6
71,59,10
71,70,6
71,51,3
71,78,3
72,4,6
72,2,4
72,8,6
73,53,6
73,8,4
73,54,6
73,6,1
73,71,9
73,39,5
73,7,1
74,43,7
74,0,4
74,44,9
75,65,4
75,5,7
75,95,10
76,25,3
76,18,10
76,73,4
77,68,7
78,90,10
78,68,6
78,51,8
79,28,9
79,2,10
80,86,8
81,38,7
81,71,3
81,25,3
81,77,3
82,12,5
82,4,6
83,48,8
83,41,6
85,64,5
85,45,6
85,49,10
85,58,6
85,62,5
86,25,4
86,6,9
87,43,10
87,94,5
89,39,4
89,31,10
90,2,7
90,9,9
91,55,7
91,35,10
91,58,5
92,15,4
92,1,1
92,26,1
92,37,6
93,99,7
94,34,10
95,45,9
95,15,5
95,85,2
95,46,9
95,29,3
95,83,3
96,50,6
96,31,7
96,70,6
96,27,3
97,17,8
98,45,7
98,19,10
98,80,6
99,90,3
99,85,10
