Source,Target,Weight
95584835,241778108,30
95584835,297779709,178
95584835,95584852,284
95584835,3019848617,25
95584841,164895026,14
95584841,268480775,125
95584841,2949522370,375
95584850,95584855,25
95584850,296628946,140
95584850,164894965,25
95584850,243352514,396
95584852,9969975998,179
95584852,164895002,22
95584852,371217962,444
95584855,164894958,25
95584855,158719853,666
95584855,296628939,141
145728058,177466919,3
145728058,145728072,173
145728058,177466910,96
145728072,145728079,202
145728072,145728087,155
145728079,177466919,203
145728079,146925232,110
145728087,149387927,109
145728087,145728120,260
145728087,145728088,147
145728088,145728119,337
145728088,146925306,183
145728095,177710703,36
145728095,149324024,185
145728095,145728105,144
145728105,145728118,118
145728105,149251038,57
145728118,177466886,7
145728118,148811399,253
145728119,177466892,86
145728119,177466905,69
145728119,145728120,113
145728120,177466912,13
145728120,177466910,12
146925232,149387993,13
146925232,149387927,365
146925232,369593366,42
146925306,148811399,119
146925306,148811414,167
148811399,149251048,118
148811414,149251075,137
148811414,149387933,121
149251038,149251042,279
149251038,149251042,144
149251042,149251048,45
149251048,149251055,8
149251055,149251075,327
149251055,149251081,140
149251075,153550207,14
149251075,149387940,130
149251081,149324033,129
149251081,6475570221,78
149324024,177710539,182
149324024,150597406,1194
149324033,177710635,112
149324033,177710624,141
149387927,149387980,18
149387927,149387933,272
149387933,149387962,17
149387940,1966760272,45
149387940,153550192,41
149387962,177710758,120
149387962,149387980,284
149387962,153550207,260
149387980,177710771,118
149387980,149387993,359
149387993,177710804,41
150597406,150597424,44
150597406,1968485401,51
150597414,150597419,154
150597414,150597422,36
150597414,3202606730,31
150597419,150597424,25
150597419,1968485401,9
150597420,150597421,30
150597420,150597432,26
150597420,151024817,23
150597420,151334674,28
150597421,150597422,21
150597421,151334674,37
150597422,3202606730,39
150597424,151334675,283
150597424,150597432,240
150597432,151024787,24
150597432,373492902,263
151024787,151024817,27
151024787,3530672226,23
151024787,3530672224,26
151024790,151024791,70
151024790,151024817,206
151024790,3530672226,175
151024791,268474438,108
151024791,173359204,143
151024793,1857900394,9
151024793,4560601499,120
151024793,2914426480,26
151024797,151024800,405
151024797,173374100,518
151024797,3211705426,157
151024797,11862288326,520
151024797,243092573,221
151024800,173944812,285
151024800,151024813,18
151024800,173374100,127
151024802,173945073,31
151024802,1943278224,20
151024802,151024811,26
151024802,173945068,30
151024805,167074908,25
151024805,167075009,120
151024805,151024807,24
151024805,173944926,212
151024807,151024808,36
151024807,167074914,24
151024807,167075001,47
151024808,173944897,178
151024808,167075001,66
151024810,173944867,136
151024810,173944872,143
151024810,171841192,82
151024811,243092565,497
151024811,243092546,30
151024813,243092573,183
151024813,243092570,95
151024813,243092565,69
151024817,151334616,770
151334561,151334624,16
151334561,272852929,66
151334561,151334591,1313
151334561,242839997,482
151334591,151334674,87
151334591,173618321,262
151334616,151334624,661
151334616,5070151820,205
151334624,163081368,231
151334624,242839972,121
151334630,5070151820,815
151334662,5070151820,132
151334675,151334679,32
151334675,373492902,39
151334679,151334683,263
151334679,373492902,39
151334683,151334726,24
151334683,215447088,91
151334683,151334687,502
151334687,2826165670,25
151334687,151334698,580
151334687,252108250,86
151334698,151334702,28
151334698,167154802,381
151334702,2826165669,534
151334702,173374135,200
151334702,178983898,103
151334716,243092060,211
151334716,151334719,113
151334716,2826165670,68
151334719,243092071,125
151334719,243092065,210
151334726,3530672224,519
151334726,243092069,201
151334726,243092071,195
151364172,151364174,282
151364172,3202606730,143
151364172,173618352,209
151364174,151364176,30
151364174,151364195,39
151364176,151364195,22
151364176,173618321,224
151364190,151364191,158
151364190,268471464,91
151364190,243360865,100
151364191,1685248285,126
151364191,243360868,96
151364193,3113706637,95
151364193,268471494,45
151364193,1840624838,221
151364195,2484837230,782
153550192,1966759781,11
153550192,153550207,171
153550192,1966760272,43
153550192,4957866699,80
153550207,271901653,126
158171776,4846551808,104
158171776,236271973,99
158171776,1738265041,289
158171810,2897107619,272
158171810,236271973,30
158171810,2286068649,542
158171845,178983788,260
158171845,3284135585,32
158171845,158719828,30
